This list contains all games supported by FB Alpha.

5033 games supported in total; X = excluded from build; D = included in debug build only; NW = not working

  name		  status  full name						  parent	  year	  company	  hardware	  remarks
+---------------+-------+-------------------------------------------------------+---------------+-------+---------------+---------------+---------------------------------------+
| 1944j		|  	| 1944 - the loop master (000620 Japan)			| 1944		| 2000	| Capcom / 8ing | CPS2		| 					|
| 1944d		|  	| 1944 - the loop master (000620 USA Phoenix Edition)	| 1944		| 2000	| bootleg	| CPS2		| 					|
| 1944		|  	| 1944 - the loop master (000620 USA)			| 		| 2000	| Capcom / 8ing | CPS2		| 					|
| 1945kiii	|  	| 1945k III						| 		| 2000	| Oriental	| misc		| 					|
| 19xxa		|  	| 19XX - the war against destiny (951207 Asia)		| 19xx		| 1995	| Capcom	| CPS2		| 					|
| 19xxjr1	|  	| 19XX - the war against destiny (951207 Japan)		| 19xx		| 1995	| Capcom	| CPS2		| 					|
| 19xxd		|  	| 19XX - the war against destiny (951207 USA Phoenix Edi| 19xx		| 1995	| bootleg	| CPS2		| 					|
| 19xx		|  	| 19XX - the war against destiny (951207 USA)		| 		| 1995	| Capcom	| CPS2		| 					|
| 19xxb		|  	| 19XX - the war against destiny (951218 Brazil)	| 19xx		| 1995	| Capcom	| CPS2		| 					|
| 19xxh		|  	| 19XX - the war against destiny (951218 Hispanic)	| 19xx		| 1995	| Capcom	| CPS2		| 					|
| 19xxj		|  	| 19XX - the war against destiny (951225 Japan)		| 19xx		| 1995	| Capcom	| CPS2		| 					|
| 2020bb	|  	| 2020 Super Baseball (set 1)				| 		| 1991	| SNK / Pallas	| Neo Geo	| 					|
| 2020bba	|  	| 2020 Super Baseball (set 2)				| 2020bb	| 1991	| SNK / Pallas	| Neo Geo	| 					|
| 2020bbh	|  	| 2020 Super Baseball (set 3)				| 2020bb	| 1991	| SNK / Pallas	| Neo Geo	| 					|
| g_2020to	|  	| 2020 Toshi Super Baseball (Japan)			| g_sb2020	| 1900	| Sega License	| Megadrive	| 					|
| 3countb	|  	| 3 Count Bout / Fire Suplex				| 		| 1993	| SNK		| Neo Geo	| 					|
| g_3ninja	|  	| 3 Ninjas Kick Back (USA)				| 		| 1994	| Sega License	| Megadrive	| 					|
| g_3in1fl	|  	| 3-in-1 Flashback - World Champ. Soccer - Tecmo World C| 		| 1900	| Sega License	| Megadrive	| 					|
| g_3in1ro	|  	| 3-in-1 Road Rash - Ms. Pac-Man - Block Out [p1][!]	| 		| 1900	| Sega License	| Megadrive	| 					|
| 4enraya	|  	| 4 En Raya						| 		| 1990	| IDSA		| misc		| 					|
| 4in1		|  	| 4 Fun in 1						| 		| 1981	| Armenia / Food| Galaxian	| 					|
| 4play		|  	| 4 player input test					| 		| ???	| SNK		| Neo Geo	| 4 player  input test cartridge	|
| 4dwarrio	|  	| 4-D Warriors (315-5162)				| 		| 1985	| Coreland / Seg| System 1	| 					|
| g_4in1pb	|  	| 4-in-1 [p1][!]					| 		| 19??	| Sega License	| Megadrive	| 					|
| g_6pakus	|  	| 6-Pak (USA)						| 		| 199?	| Sega License	| Megadrive	| 					|
| 600		|  	| 600							| turtles	| 1981	| Konami	| Galaxian	| 					|
| g_688att	|  	| 688 Attack Sub (USA, Europe)				| 		| 1991	| Sega License	| Megadrive	| 					|
| 7ordi		|  	| 7 Ordi (Korea)					| 		| 2002	| Yun Sung	| Miscellaneous	| 					|
| 800fath	|  	| 800 Fathoms						| mariner	| 1981	| Amenip (US Bil| Galaxian	| 					|
| g_bioscd	| D NW	| [BIOS] CDX (USA) (v2.21X)				| 		| 1993	| Sega		| Megadrive	| 					|
| g_biosla	| D NW	| [BIOS] LaserActive (Japan) (v0.98)			| 		| 1993	| Sega		| Megadrive	| 					|
| g_biosl1	| D NW	| [BIOS] LaserActive (USA) (v0.98)			| g_biosla	| 1993	| Sega		| Megadrive	| 					|
| g_biosl2	| D NW	| [BIOS] LaserActive (USA) (v1.04)			| g_biosla	| 1993	| Sega		| Megadrive	| 					|
| g_biosme	| D NW	| [BIOS] Mega-CD (Europe) (v1.00)			| 		| 1992	| Sega		| Megadrive	| 					|
| g_biosm1	| D NW	| [BIOS] Mega-CD (Japan) (v1.00P)			| g_biosme	| 1991	| Sega		| Megadrive	| 					|
| g_biosm2	| D NW	| [BIOS] Mega-CD (Japan) (v1.00S)			| g_biosme	| 1991	| Sega		| Megadrive	| 					|
| g_biosm3	| D NW	| [BIOS] Mega-CD 2 (Europe) (v2.00)			| g_biosme	| 1993	| Sega		| Megadrive	| 					|
| g_biosm4	| D NW	| [BIOS] Mega-CD 2 (Europe) (v2.00W)			| g_biosme	| 1993	| Sega		| Megadrive	| 					|
| g_biosm5	| D NW	| [BIOS] Mega-CD 2 (Japan) (v2.00C)			| g_biosme	| 	| Sega License	| Megadrive	| 					|
